muni_j,name_j,muni_vote,party_j,ken,kucode
那須烏山市,やな　和生,7348,自由民主党,9,3
那須町,やな　和生,6888,自由民主党,9,3
那珂川町,やな　和生,4909,自由民主党,9,3
栃木市（４区）,さとう　勉,16735,自由民主党,9,4
小山市,さとう　勉,31523,自由民主党,9,4
真岡市,さとう　勉,18594,自由民主党,9,4
下野市（４区）,さとう　勉,9325,自由民主党,9,4
益子町,さとう　勉,5931,自由民主党,9,4
茂木町,さとう　勉,4514,自由民主党,9,4
市貝町,さとう　勉,2968,自由民主党,9,4
芳賀町,さとう　勉,4374,自由民主党,9,4
壬生町,さとう　勉,11398,自由民主党,9,4
野木町,さとう　勉,5805,自由民主党,9,4
栃木市（４区）,山﨑　としひこ,2638,日本共産党,9,4
小山市,山﨑　としひこ,5440,日本共産党,9,4
真岡市,山﨑　としひこ,2115,日本共産党,9,4
下野市（４区）,山﨑　としひこ,1329,日本共産党,9,4
益子町,山﨑　としひこ,1039,日本共産党,9,4
茂木町,山﨑　としひこ,508,日本共産党,9,4
市貝町,山﨑　としひこ,397,日本共産党,9,4
芳賀町,山﨑　としひこ,460,日本共産党,9,4
壬生町,山﨑　としひこ,1349,日本共産党,9,4
野木町,山﨑　としひこ,1466,日本共産党,9,4
栃木市（４区）,藤岡　隆雄,11201,希望の党,9,4
小山市,藤岡　隆雄,27441,希望の党,9,4
真岡市,藤岡　隆雄,12178,希望の党,9,4
下野市（４区）,藤岡　隆雄,6401,希望の党,9,4
益子町,藤岡　隆雄,3903,希望の党,9,4
茂木町,藤岡　隆雄,2025,希望の党,9,4
市貝町,藤岡　隆雄,2060,希望の党,9,4
芳賀町,藤岡　隆雄,2553,希望の党,9,4
壬生町,藤岡　隆雄,4531,希望の党,9,4
野木町,藤岡　隆雄,4001,希望の党,9,4
足利市,茂木　としみつ,36674,自由民主党,9,5
栃木市（５区）,茂木　としみつ,20795,自由民主党,9,5
佐野市,茂木　としみつ,31934,自由民主党,9,5
足利市,大豆生田　みのる,21416,希望の党,9,5
栃木市（５区）,大豆生田　みのる,7663,希望の党,9,5
佐野市,大豆生田　みのる,12359,希望の党,9,5
足利市,川上　ひとし,5277,日本共産党,9,5
栃木市（５区）,川上　ひとし,3339,日本共産党,9,5
佐野市,川上　ひとし,4869,日本共産党,9,5
前　 橋　 市,宮崎　タケシ,53037,希望の党,10,1
桐生市（１区）,宮崎　タケシ,2693,希望の党,10,1
沼　 田　 市,宮崎　タケシ,7024,希望の党,10,1
渋川市（１区）,宮崎　タケシ,2850,希望の党,10,1
みど り市（１区）,宮崎　タケシ,316,希望の党,10,1
片 品 村,宮崎　タケシ,806,希望の党,10,1
川 場 村,宮崎　タケシ,462,希望の党,10,1
昭 和 村,宮崎　タケシ,1016,希望の党,10,1
みなかみ町,宮崎　タケシ,3365,希望の党,10,1
前　 橋　 市,尾身　朝子,61701,自由民主党,10,1
桐生市（１区）,尾身　朝子,3610,自由民主党,10,1
沼　 田　 市,尾身　朝子,11526,自由民主党,10,1
渋川市（１区）,尾身　朝子,4264,自由民主党,10,1
みど り市（１区）,尾身　朝子,706,自由民主党,10,1
片 品 村,尾身　朝子,2125,自由民主党,10,1
川 場 村,尾身　朝子,1135,自由民主党,10,1
昭 和 村,尾身　朝子,2282,自由民主党,10,1
みなかみ町,尾身　朝子,5292,自由民主党,10,1
前　 橋　 市,たなはし　せつ子,19319,日本共産党,10,1
桐生市（１区）,たなはし　せつ子,839,日本共産党,10,1
沼　 田　 市,たなはし　せつ子,2605,日本共産党,10,1
渋川市（１区）,たなはし　せつ子,1034,日本共産党,10,1
みど り市（１区）,たなはし　せつ子,95,日本共産党,10,1
片 品 村,たなはし　せつ子,282,日本共産党,10,1
川 場 村,たなはし　せつ子,162,日本共産党,10,1
昭 和 村,たなはし　せつ子,343,日本共産党,10,1
みなかみ町,たなはし　せつ子,1139,日本共産党,10,1
桐生市（２区）,井野　としろう,22885,自由民主党,10,2
伊 勢 崎 市,井野　としろう,44056,自由民主党,10,2
太田市（２区）,井野　としろう,4188,自由民主党,10,2
みど り市（２区）,井野　としろう,10267,自由民主党,10,2
玉 村 町,井野　としろう,7823,自由民主党,10,2
桐生市（２区）,はせだ　直之,6536,日本共産党,10,2
伊 勢 崎 市,はせだ　直之,10084,日本共産党,10,2
太田市（２区）,はせだ　直之,921,日本共産党,10,2
みど り市（２区）,はせだ　直之,2517,日本共産党,10,2
玉 村 町,はせだ　直之,1850,日本共産党,10,2
桐生市（２区）,石関　たかし,12320,希望の党,10,2
伊 勢 崎 市,石関　たかし,22573,希望の党,10,2
太田市（２区）,石関　たかし,2463,希望の党,10,2
みど り市（２区）,石関　たかし,6317,希望の党,10,2
玉 村 町,石関　たかし,4872,希望の党,10,2
太田市（３区）,長谷川　かいち,36311,立憲民主党,10,3
館　 林　 市,長谷川　かいち,12667,立憲民主党,10,3
板 倉 町,長谷川　かいち,2717,立憲民主党,10,3
明 和 町,長谷川　かいち,2075,立憲民主党,10,3
千代田町,長谷川　かいち,1869,立憲民主党,10,3
大 泉 町,長谷川　かいち,6485,立憲民主党,10,3
邑 楽 町,長谷川　かいち,5332,立憲民主党,10,3
太田市（３区）,笹川　ひろよし,40373,自由民主党,10,3
館　 林　 市,笹川　ひろよし,16737,自由民主党,10,3
板 倉 町,笹川　ひろよし,4687,自由民主党,10,3
明 和 町,笹川　ひろよし,3418,自由民主党,10,3
千代田町,笹川　ひろよし,3198,自由民主党,10,3
大 泉 町,笹川　ひろよし,8277,自由民主党,10,3
邑 楽 町,笹川　ひろよし,6756,自由民主党,10,3
高崎市（４区）,はぎわら　貞夫,19609,日本共産党,10,4
藤　 岡　 市,はぎわら　貞夫,4256,日本共産党,10,4
上 野 村,はぎわら　貞夫,80,日本共産党,10,4
神 流 町,はぎわら　貞夫,61,日本共産党,10,4
高崎市（４区）,不破　弘樹,29410,希望の党,10,4
藤　 岡　 市,不破　弘樹,6517,希望の党,10,4
上 野 村,不破　弘樹,80,希望の党,10,4
神 流 町,不破　弘樹,160,希望の党,10,4
高崎市（４区）,福田　たつお,73260,自由民主党,10,4
藤　 岡　 市,福田　たつお,18212,自由民主党,10,4
上 野 村,福田　たつお,666,自由民主党,10,4
神 流 町,福田　たつお,1124,自由民主党,10,4
高崎市（５区）,おぶち　優子,22798,自由民主党,10,5
渋川市（５区）,おぶち　優子,14704,自由民主党,10,5
富　 岡　 市,おぶち　優子,14191,自由民主党,10,5
安　 中　 市,おぶち　優子,16331,自由民主党,10,5
榛 東 村,おぶち　優子,4512,自由民主党,10,5
吉 岡 町,おぶち　優子,5399,自由民主党,10,5
下仁田町,おぶち　優子,3172,自由民主党,10,5
南 牧 村,おぶち　優子,1017,自由民主党,10,5
甘 楽 町,おぶち　優子,4592,自由民主党,10,5
中之条町,おぶち　優子,6990,自由民主党,10,5
長野原町,おぶち　優子,2303,自由民主党,10,5
嬬 恋 村,おぶち　優子,3796,自由民主党,10,5
草 津 町,おぶち　優子,2217,自由民主党,10,5
高 山 村,おぶち　優子,1563,自由民主党,10,5
東吾妻町,おぶち　優子,5868,自由民主党,10,5
高崎市（５区）,伊藤　たつや,3813,日本共産党,10,5
渋川市（５区）,伊藤　たつや,2464,日本共産党,10,5
富　 岡　 市,伊藤　たつや,1603,日本共産党,10,5
安　 中　 市,伊藤　たつや,2729,日本共産党,10,5
榛 東 村,伊藤　たつや,528,日本共産党,10,5
吉 岡 町,伊藤　たつや,801,日本共産党,10,5
下仁田町,伊藤　たつや,219,日本共産党,10,5
南 牧 村,伊藤　たつや,55,日本共産党,10,5
甘 楽 町,伊藤　たつや,424,日本共産党,10,5
中之条町,伊藤　たつや,736,日本共産党,10,5
長野原町,伊藤　たつや,245,日本共産党,10,5
嬬 恋 村,伊藤　たつや,332,日本共産党,10,5
草 津 町,伊藤　たつや,303,日本共産党,10,5
高 山 村,伊藤　たつや,106,日本共産党,10,5
東吾妻町,伊藤　たつや,577,日本共産党,10,5
高崎市（５区）,高橋　のぶゆき,2630,社会民主党,10,5
渋川市（５区）,高橋　のぶゆき,3445,社会民主党,10,5
富　 岡　 市,高橋　のぶゆき,1470,社会民主党,10,5
安　 中　 市,高橋　のぶゆき,2687,社会民主党,10,5
榛 東 村,高橋　のぶゆき,398,社会民主党,10,5
吉 岡 町,高橋　のぶゆき,700,社会民主党,10,5
下仁田町,高橋　のぶゆき,254,社会民主党,10,5
南 牧 村,高橋　のぶゆき,63,社会民主党,10,5
甘 楽 町,高橋　のぶゆき,430,社会民主党,10,5
中之条町,高橋　のぶゆき,626,社会民主党,10,5
長野原町,高橋　のぶゆき,188,社会民主党,10,5
嬬 恋 村,高橋　のぶゆき,219,社会民主党,10,5
草 津 町,高橋　のぶゆき,150,社会民主党,10,5
高 山 村,高橋　のぶゆき,103,社会民主党,10,5
東吾妻町,高橋　のぶゆき,645,社会民主党,10,5
高崎市（５区）,いのくち　幸子,6867,希望の党,10,5
渋川市（５区）,いのくち　幸子,4634,希望の党,10,5
富　 岡　 市,いのくち　幸子,4640,希望の党,10,5
安　 中　 市,いのくち　幸子,5237,希望の党,10,5
榛 東 村,いのくち　幸子,1192,希望の党,10,5
吉 岡 町,いのくち　幸子,1773,希望の党,10,5
下仁田町,いのくち　幸子,593,希望の党,10,5
南 牧 村,いのくち　幸子,127,希望の党,10,5
甘 楽 町,いのくち　幸子,1095,希望の党,10,5
中之条町,いのくち　幸子,1163,希望の党,10,5
長野原町,いのくち　幸子,357,希望の党,10,5
嬬 恋 村,いのくち　幸子,605,希望の党,10,5
草 津 町,いのくち　幸子,515,希望の党,10,5
高 山 村,いのくち　幸子,272,希望の党,10,5
東吾妻町,いのくち　幸子,1057,希望の党,10,5
さいたま市見沼区１,たけまさ　公一,19096,希望の党,11,1
さいたま市浦和区,たけまさ　公一,26646,希望の党,11,1
さいたま市緑区,たけまさ　公一,16549,希望の党,11,1
さいたま市岩槻区,たけまさ　公一,13425,希望の党,11,1
さいたま市見沼区１,こひやま　清人,3302,日本維新の会,11,1
さいたま市浦和区,こひやま　清人,3772,日本維新の会,11,1
さいたま市緑区,こひやま　清人,2438,日本維新の会,11,1
さいたま市岩槻区,こひやま　清人,2065,日本維新の会,11,1
さいたま市見沼区１,とば　めぐみ,10155,日本共産党,11,1
さいたま市浦和区,とば　めぐみ,10239,日本共産党,11,1
さいたま市緑区,とば　めぐみ,7711,日本共産党,11,1
さいたま市岩槻区,とば　めぐみ,5488,日本共産党,11,1
さいたま市見沼区１,村井　ひでき,28326,自由民主党,11,1
さいたま市浦和区,村井　ひでき,32573,自由民主党,11,1
さいたま市緑区,村井　ひでき,23024,自由民主党,11,1
さいたま市岩槻区,村井　ひでき,22776,自由民主党,11,1
川口市（2区）,すが　かつみ,64783,希望の党,11,2
川口市（2区）,平川　みちや,34846,日本共産党,11,2
川口市（2区）,しんどう　義孝,110072,自由民主党,11,2
草加市,飯田　たけし,891,幸福実現党,11,3
越谷市,飯田　たけし,1118,幸福実現党,11,3
草加市,石川　英行,950,無所属,11,3
越谷市,石川　英行,1090,無所属,11,3
草加市,みわ　あさみ,12437,希望の党,11,3
越谷市,みわ　あさみ,17430,希望の党,11,3
草加市,きかわだ　ひとし,39890,自由民主党,11,3
越谷市,きかわだ　ひとし,55203,自由民主党,11,3
草加市,山川　ゆりこ,34477,立憲民主党,11,3
越谷市,山川　ゆりこ,38773,立憲民主党,11,3
草加市,やこう　勘司,7162,日本維新の会,11,3
越谷市,やこう　勘司,3702,日本維新の会,11,3
朝霞市,あさか　英義,7776,日本共産党,11,4
志木市,あさか　英義,4418,日本共産党,11,4
和光市,あさか　英義,5155,日本共産党,11,4
新座市,あさか　英義,11776,日本共産党,11,4
朝霞市,あおやぎ　仁士,7579,日本維新の会,11,4
志木市,あおやぎ　仁士,3659,日本維新の会,11,4
和光市,あおやぎ　仁士,5306,日本維新の会,11,4
新座市,あおやぎ　仁士,6818,日本維新の会,11,4
朝霞市,吉田　よしのり,14617,希望の党,11,4
志木市,吉田　よしのり,7005,希望の党,11,4
和光市,吉田　よしのり,7150,希望の党,11,4
新座市,吉田　よしのり,21393,希望の党,11,4
朝霞市,とよた　真由子,7044,無所属,11,4
志木市,とよた　真由子,3363,無所属,11,4
和光市,とよた　真由子,3994,無所属,11,4
新座市,とよた　真由子,7213,無所属,11,4
朝霞市,ほさか　やすし,22155,自由民主党,11,4
志木市,ほさか　やすし,15035,自由民主党,11,4
和光市,ほさか　やすし,12994,自由民主党,11,4
新座市,ほさか　やすし,24103,自由民主党,11,4
さいたま市西区,まきはら　ひでき,15553,自由民主党,11,5
さいたま市北区,まきはら　ひでき,24621,自由民主党,11,5
さいたま市大宮区,まきはら　ひでき,18232,自由民主党,11,5
さいたま市見沼区２,まきはら　ひでき,1611,自由民主党,11,5
さいたま市中央区,まきはら　ひでき,17006,自由民主党,11,5
さいたま市西区,えだの　幸男,21153,立憲民主党,11,5
さいたま市北区,えだの　幸男,37304,立憲民主党,11,5
さいたま市大宮区,えだの　幸男,31110,立憲民主党,11,5
さいたま市見沼区２,えだの　幸男,2585,立憲民主党,11,5
さいたま市中央区,えだの　幸男,26939,立憲民主党,11,5
さいたま市西区,高木　ひでふみ,2152,希望の党,11,5
さいたま市北区,高木　ひでふみ,3507,希望の党,11,5
さいたま市大宮区,高木　ひでふみ,2728,希望の党,11,5
さいたま市見沼区２,高木　ひでふみ,371,希望の党,11,5
さいたま市中央区,高木　ひでふみ,2621,希望の党,11,5
鴻巣市（６区）,大島　あつし,25166,希望の党,11,6
上尾市,大島　あつし,40718,希望の党,11,6
桶川市,大島　あつし,16002,希望の党,11,6
北本市,大島　あつし,17163,希望の党,11,6
伊奈町,大島　あつし,7399,希望の党,11,6
鴻巣市（６区）,中根　かずゆき,20622,自由民主党,11,6
上尾市,中根　かずゆき,39974,自由民主党,11,6
桶川市,中根　かずゆき,12775,自由民主党,11,6
北本市,中根　かずゆき,11521,自由民主党,11,6
伊奈町,中根　かずゆき,7330,自由民主党,11,6
鴻巣市（６区）,戸口　佐一,5536,日本共産党,11,6
上尾市,戸口　佐一,13749,日本共産党,11,6
桶川市,戸口　佐一,3857,日本共産党,11,6
北本市,戸口　佐一,3468,日本共産党,11,6
伊奈町,戸口　佐一,2410,日本共産党,11,6
川越市,長沼　ちね,24567,日本共産党,11,7
富士見市,長沼　ちね,7557,日本共産党,11,7
ふじみ野市（７区）,長沼　ちね,4706,日本共産党,11,7
川越市,こみやま　泰子,56251,希望の党,11,7
富士見市,こみやま　泰子,13357,希望の党,11,7
ふじみ野市（７区）,こみやま　泰子,8594,希望の党,11,7
川越市,神山　佐市,57393,自由民主党,11,7
富士見市,神山　佐市,22231,自由民主党,11,7
ふじみ野市（７区）,神山　佐市,11217,自由民主党,11,7
所沢市,つじ　モトミ,26619,日本共産党,11,8
ふじみ野市（８区）,つじ　モトミ,3825,日本共産党,11,8
三芳町,つじ　モトミ,2760,日本共産党,11,8
所沢市,おのづか　勝俊,49688,希望の党,11,8
ふじみ野市（８区）,おのづか　勝俊,6595,希望の党,11,8
三芳町,おのづか　勝俊,5218,希望の党,11,8
所沢市,しばやま　昌彦,73483,自由民主党,11,8
ふじみ野市（８区）,しばやま　昌彦,11020,自由民主党,11,8
三芳町,しばやま　昌彦,8449,自由民主党,11,8
飯能市,神田　三春,7532,日本共産党,11,9
狭山市,神田　三春,13183,日本共産党,11,9
入間市,神田　三春,11705,日本共産党,11,9
日高市,神田　三春,4876,日本共産党,11,9
毛呂山町,神田　三春,2455,日本共産党,11,9
越生町,神田　三春,1071,日本共産党,11,9
飯能市,大塚　拓,18089,自由民主党,11,9
狭山市,大塚　拓,35308,自由民主党,11,9
入間市,大塚　拓,34001,自由民主党,11,9
日高市,大塚　拓,13083,自由民主党,11,9
毛呂山町,大塚　拓,8121,自由民主党,11,9
越生町,大塚　拓,3213,自由民主党,11,9
飯能市,すぎむら　慎治,9481,希望の党,11,9
狭山市,すぎむら　慎治,18557,希望の党,11,9
入間市,すぎむら　慎治,16711,希望の党,11,9
日高市,すぎむら　慎治,7122,希望の党,11,9
毛呂山町,すぎむら　慎治,4201,希望の党,11,9
越生町,すぎむら　慎治,1527,希望の党,11,9
東松山市,柿沼　はるき,5755,日本共産党,11,10
坂戸市,柿沼　はるき,6865,日本共産党,11,10
鶴ヶ島市,柿沼　はるき,5106,日本共産党,11,10
滑川町,柿沼　はるき,1009,日本共産党,11,10
嵐山町,柿沼　はるき,1192,日本共産党,11,10
小川町,柿沼　はるき,2336,日本共産党,11,10
川島町,柿沼　はるき,951,日本共産党,11,10
吉見町,柿沼　はるき,1164,日本共産党,11,10
鳩山町,柿沼　はるき,1427,日本共産党,11,10
ときがわ町,柿沼　はるき,699,日本共産党,11,10
東松山市,坂本　ゆうのすけ,18329,希望の党,11,10
坂戸市,坂本　ゆうのすけ,13965,希望の党,11,10
鶴ヶ島市,坂本　ゆうのすけ,10307,希望の党,11,10
滑川町,坂本　ゆうのすけ,2832,希望の党,11,10
嵐山町,坂本　ゆうのすけ,3102,希望の党,11,10
小川町,坂本　ゆうのすけ,6065,希望の党,11,10
川島町,坂本　ゆうのすけ,2827,希望の党,11,10
吉見町,坂本　ゆうのすけ,3731,希望の党,11,10
鳩山町,坂本　ゆうのすけ,2808,希望の党,11,10
ときがわ町,坂本　ゆうのすけ,2140,希望の党,11,10
東松山市,山口　たいめい,16108,自由民主党,11,10
坂戸市,山口　たいめい,22015,自由民主党,11,10
鶴ヶ島市,山口　たいめい,14887,自由民主党,11,10
滑川町,山口　たいめい,3974,自由民主党,11,10
嵐山町,山口　たいめい,4240,自由民主党,11,10
小川町,山口　たいめい,7167,自由民主党,11,10
川島町,山口　たいめい,6034,自由民主党,11,10
吉見町,山口　たいめい,4627,自由民主党,11,10
鳩山町,山口　たいめい,3448,自由民主党,11,10
ときがわ町,山口　たいめい,2953,自由民主党,11,10
熊谷市（11区）,柴岡　ゆうま,836,日本共産党,11,11
秩父市,柴岡　ゆうま,4022,日本共産党,11,11
本庄市,柴岡　ゆうま,4159,日本共産党,11,11
深谷市,柴岡　ゆうま,7752,日本共産党,11,11
横瀬町,柴岡　ゆうま,525,日本共産党,11,11
皆野町,柴岡　ゆうま,804,日本共産党,11,11
長瀞町,柴岡　ゆうま,513,日本共産党,11,11
小鹿野町,柴岡　ゆうま,627,日本共産党,11,11
東秩父村,柴岡　ゆうま,150,日本共産党,11,11
美里町,柴岡　ゆうま,491,日本共産党,11,11
神川町,柴岡　ゆうま,628,日本共産党,11,11
上里町,柴岡　ゆうま,1567,日本共産党,11,11
寄居町,柴岡　ゆうま,2550,日本共産党,11,11
熊谷市（11区）,今野　ともひろ,946,無所属,11,11
秩父市,今野　ともひろ,5948,無所属,11,11
本庄市,今野　ともひろ,8657,無所属,11,11
深谷市,今野　ともひろ,19665,無所属,11,11
横瀬町,今野　ともひろ,1150,無所属,11,11
皆野町,今野　ともひろ,1098,無所属,11,11
長瀞町,今野　ともひろ,915,無所属,11,11
小鹿野町,今野　ともひろ,1671,無所属,11,11
東秩父村,今野　ともひろ,330,無所属,11,11
美里町,今野　ともひろ,1281,無所属,11,11
神川町,今野　ともひろ,1376,無所属,11,11
上里町,今野　ともひろ,3368,無所属,11,11
寄居町,今野　ともひろ,3641,無所属,11,11
熊谷市（11区）,三角　そうた,880,希望の党,11,11
秩父市,三角　そうた,3793,希望の党,11,11
本庄市,三角　そうた,5641,希望の党,11,11
深谷市,三角　そうた,8422,希望の党,11,11
横瀬町,三角　そうた,507,希望の党,11,11
皆野町,三角　そうた,650,希望の党,11,11
長瀞町,三角　そうた,491,希望の党,11,11
小鹿野町,三角　そうた,537,希望の党,11,11
東秩父村,三角　そうた,258,希望の党,11,11
美里町,三角　そうた,712,希望の党,11,11
神川町,三角　そうた,809,希望の党,11,11
上里町,三角　そうた,2355,希望の党,11,11
寄居町,三角　そうた,2332,希望の党,11,11
熊谷市（11区）,小泉　りゅうじ,2230,無所属,11,11
秩父市,小泉　りゅうじ,15679,無所属,11,11
本庄市,小泉　りゅうじ,14789,無所属,11,11
深谷市,小泉　りゅうじ,26624,無所属,11,11
横瀬町,小泉　りゅうじ,1960,無所属,11,11
皆野町,小泉　りゅうじ,2561,無所属,11,11
長瀞町,小泉　りゅうじ,1797,無所属,11,11
小鹿野町,小泉　りゅうじ,2826,無所属,11,11
東秩父村,小泉　りゅうじ,995,無所属,11,11
美里町,小泉　りゅうじ,2706,無所属,11,11
神川町,小泉　りゅうじ,2888,無所属,11,11
上里町,小泉　りゅうじ,5469,無所属,11,11
寄居町,小泉　りゅうじ,7766,無所属,11,11
熊谷市（12区）,森田　としかず,50467,希望の党,11,12
行田市,森田　としかず,14453,希望の党,11,12
加須市,森田　としかず,12247,希望の党,11,12
羽生市,森田　としかず,7698,希望の党,11,12
鴻巣市（12区）,森田　としかず,1142,希望の党,11,12
熊谷市（12区）,林　ひでひろ,7370,日本共産党,11,12
行田市,林　ひでひろ,4212,日本共産党,11,12
加須市,林　ひでひろ,5454,日本共産党,11,12
羽生市,林　ひでひろ,2426,日本共産党,11,12
鴻巣市（12区）,林　ひでひろ,416,日本共産党,11,12
熊谷市（12区）,野中　あつし,25178,自由民主党,11,12
行田市,野中　あつし,16943,自由民主党,11,12
加須市,野中　あつし,29636,自由民主党,11,12
羽生市,野中　あつし,12936,自由民主党,11,12
鴻巣市（12区）,野中　あつし,1806,自由民主党,11,12
春日部市（13区）,きたずみ　よしゆき,24040,希望の党,11,13
越谷市,きたずみ　よしゆき,4745,希望の党,11,13
久喜市（13区）,きたずみ　よしゆき,10582,希望の党,11,13
蓮田市,きたずみ　よしゆき,7714,希望の党,11,13
白岡市,きたずみ　よしゆき,6832,希望の党,11,13
宮代町,きたずみ　よしゆき,4034,希望の党,11,13
春日部市（13区）,つちや　品子,44236,自由民主党,11,13
越谷市,つちや　品子,7257,自由民主党,11,13
久喜市（13区）,つちや　品子,20485,自由民主党,11,13
蓮田市,つちや　品子,13247,自由民主党,11,13
白岡市,つちや　品子,11400,自由民主党,11,13
宮代町,つちや　品子,7875,自由民主党,11,13
春日部市（13区）,池田　まさよ,13813,社会民主党,11,13
越谷市,池田　まさよ,3110,社会民主党,11,13
久喜市（13区）,池田　まさよ,7454,社会民主党,11,13
蓮田市,池田　まさよ,5560,社会民主党,11,13
白岡市,池田　まさよ,4016,社会民主党,11,13
宮代町,池田　まさよ,2802,社会民主党,11,13
春日部市（14区）,はたの　博,1764,日本維新の会,11,14
久喜市（14区）,はたの　博,1950,日本維新の会,11,14
八潮市,はたの　博,2151,日本維新の会,11,14
三郷市,はたの　博,3151,日本維新の会,11,14
幸手市,はたの　博,1181,日本維新の会,11,14
吉川市,はたの　博,1826,日本維新の会,11,14
杉戸町,はたの　博,1217,日本維新の会,11,14
松伏町,はたの　博,686,日本維新の会,11,14
春日部市（14区）,苗村　京子,2293,日本共産党,11,14
久喜市（14区）,苗村　京子,4537,日本共産党,11,14
八潮市,苗村　京子,4418,日本共産党,11,14
三郷市,苗村　京子,8818,日本共産党,11,14
幸手市,苗村　京子,2870,日本共産党,11,14
吉川市,苗村　京子,4418,日本共産党,11,14
杉戸町,苗村　京子,2953,日本共産党,11,14
松伏町,苗村　京子,1710,日本共産党,11,14
春日部市（14区）,鈴木　よしひろ,3974,希望の党,11,14
久喜市（14区）,鈴木　よしひろ,7575,希望の党,11,14
八潮市,鈴木　よしひろ,10050,希望の党,11,14
三郷市,鈴木　よしひろ,19911,希望の党,11,14
幸手市,鈴木　よしひろ,4780,希望の党,11,14
吉川市,鈴木　よしひろ,8350,希望の党,11,14
杉戸町,鈴木　よしひろ,5055,希望の党,11,14
松伏町,鈴木　よしひろ,3038,希望の党,11,14
春日部市（14区）,三ツ林　ひろみ,8064,自由民主党,11,14
久喜市（14区）,三ツ林　ひろみ,13895,自由民主党,11,14
八潮市,三ツ林　ひろみ,14080,自由民主党,11,14
三郷市,三ツ林　ひろみ,19880,自由民主党,11,14
幸手市,三ツ林　ひろみ,14022,自由民主党,11,14
吉川市,三ツ林　ひろみ,12989,自由民主党,11,14
杉戸町,三ツ林　ひろみ,9931,自由民主党,11,14
松伏町,三ツ林　ひろみ,5582,自由民主党,11,14
川　　口　　市(15区),田中　良生,2883,自由民主党,11,15
蕨市,田中　良生,14821,自由民主党,11,15
戸田市,田中　良生,24753,自由民主党,11,15
さいたま市桜区,田中　良生,17912,自由民主党,11,15
さいたま市南区,田中　良生,35816,自由民主党,11,15
川　　口　　市(15区),梅村　さえこ,1532,日本共産党,11,15
蕨市,梅村　さえこ,6279,日本共産党,11,15
戸田市,梅村　さえこ,9206,日本共産党,11,15
さいたま市桜区,梅村　さえこ,7405,日本共産党,11,15
さいたま市南区,梅村　さえこ,15075,日本共産党,11,15
川　　口　　市(15区),高橋　ひであき,872,日本維新の会,11,15
蕨市,高橋　ひであき,2094,日本維新の会,11,15
戸田市,高橋　ひであき,3912,日本維新の会,11,15
さいたま市桜区,高橋　ひであき,2513,日本維新の会,11,15
さいたま市南区,高橋　ひであき,5623,日本維新の会,11,15
川　　口　　市(15区),高山　さとし,1347,希望の党,11,15
蕨市,高山　さとし,6605,希望の党,11,15
戸田市,高山　さとし,11642,希望の党,11,15
さいたま市桜区,高山　さとし,9373,希望の党,11,15
さいたま市南区,高山　さとし,19762,希望の党,11,15
千葉市中央区,たじま　要,28954,希望の党,12,1
千葉市稲毛区,たじま　要,25771,希望の党,12,1
千葉市美浜区,たじま　要,26756,希望の党,12,1
千葉市中央区,門山　ひろあき,33038,自由民主党,12,1
千葉市稲毛区,門山　ひろあき,25549,自由民主党,12,1
千葉市美浜区,門山　ひろあき,24251,自由民主党,12,1
千葉市中央区,大野　たかし,7939,日本共産党,12,1
千葉市稲毛区,大野　たかし,7876,日本共産党,12,1
千葉市美浜区,大野　たかし,8416,日本共産党,12,1
千葉市中央区,長谷川　ゆたか,5224,日本維新の会,12,1
千葉市稲毛区,長谷川　ゆたか,4448,日本維新の会,12,1
千葉市美浜区,長谷川　ゆたか,5342,日本維新の会,12,1
千葉市花見川区,藤巻　けんた,4440,日本維新の会,12,2
習志野市,藤巻　けんた,5576,日本維新の会,12,2
八千代市,藤巻　けんた,4869,日本維新の会,12,2
千葉市花見川区,上野　ひろつぐ,6271,日本共産党,12,2
習志野市,上野　ひろつぐ,4929,日本共産党,12,2
八千代市,上野　ひろつぐ,5291,日本共産党,12,2
千葉市花見川区,ひぐち　ひろやす,17868,立憲民主党,12,2
習志野市,ひぐち　ひろやす,18321,立憲民主党,12,2
八千代市,ひぐち　ひろやす,17846,立憲民主党,12,2
千葉市花見川区,竹ヶ原　ゆみこ,8690,希望の党,12,2
習志野市,竹ヶ原　ゆみこ,9056,希望の党,12,2
八千代市,竹ヶ原　ゆみこ,11132,希望の党,12,2
千葉市花見川区,小林　たかゆき,33121,自由民主党,12,2
習志野市,小林　たかゆき,35120,自由民主党,12,2
八千代市,小林　たかゆき,40723,自由民主党,12,2
千葉市緑区,松野　ひろかず,25213,自由民主党,12,3
市原市,松野　ひろかず,60248,自由民主党,12,3
千葉市緑区,岡島　一正,16170,立憲民主党,12,3
市原市,岡島　一正,35848,立憲民主党,12,3
千葉市緑区,くしぶち　万里,7857,希望の党,12,3
市原市,くしぶち　万里,15105,希望の党,12,3
船橋市（４区）,深津　としろう,14955,日本共産党,12,4
船橋市（４区）,野田　よしひこ,131024,無所属,12,4
船橋市（４区）,木村　てつや,61804,自由民主党,12,4
船橋市（４区）,佐藤　浩,12104,日本維新の会,12,4
市川市（５区）,そのうら　健太郎,71594,自由民主党,12,5
浦安市,そのうら　健太郎,35705,自由民主党,12,5
市川市（５区）,山田　あつし,42206,立憲民主党,12,5
浦安市,山田　あつし,20688,立憲民主党,12,5
